exchange_idx,OBSID,student_text,teacher_text,gold_is_otr,gold_elicitation_type,gold_response_type,gold_cognitive_depth,pred_is_otr,pred_elicitation_type,pred_response_type,pred_cognitive_depth
4426_220,4426,We were supposed to take five tenths away.,"Okay, so then you’re done with your turn.",no,,,,no,,,
4651_213,4651,You would have divided by four – three over three.,What would be my greatest common factor between 75 and 100?,yes,individual,verbal,test,yes,individual,verbal,test
498_295,498,There’s two cups in one pint.  Four cups in—,"Yeah, we need to write all that stuff down.  We know that there are how many ounces in a cup?",yes,individual,verbal,test,yes,choral,verbal,test
2491_214,2491,"I know, but there’s 5 going down.","Okay, gotcha.  So going down there’s 5.  So you’re saying that would be like putting 10 cubes and slicing them in half. My question though is: would slicing them in half work? Because look, from here – well, maybe it would.  So you’re saying that measures out to about half a cube.  Okay, good. Good job.  What was your total, by the way?",yes,individual,verbal,authentic,yes,individual,verbal,test
1069_28,1069,"Number sentences related to PEMDAS because in order to solve a number sentence you’re gonna need to know the order of operations that you use and they’re important because you can – because let’s say you have a job and then you sort out your taxes, you can use number sentences to help you sort out your taxes.","You can write equations to figure out tax information as well as calculating tax information, can’t you?  One plus two is what? Who said four?  I’m feeling dizzy.  I’m feeling dizzy.  One plus two is what?",yes,individual,verbal,test,yes,individual,verbal,test
4363_26,4363,There are 3 trees with 9 apples.  How many apples are there together?,Three what?,no,,,,yes,individual,verbal,test
2523_82,2523,There’s still a zero.,There’s still a zero where?,yes,individual,verbal,test,yes,individual,verbal,test
2188_11,2188,We’ve been in school for 54 days.,"Excellent.  Student A, when you think of the number 54, how many tens are in the number 54?  Which digit is in the tens place in the numeral 54?",yes,individual,verbal,test,yes,individual,verbal,test
4426_135,4426,"Yeah, so you would reduce it down to –","How did I get there?  What do you mean by reduce it down?  I have two twelfths.  I want to put it here.  Just show me what I would reduce it.  One and what would this be?  Show me what we call minimal collection.  If I have two twelfths, I don’t want to carry around two twelfths.  I can turn it into what?",yes,individual,verbal,test,yes,choral,verbal,test
568_397,568,Because it has more circle at the bottom and then the rest is like [oval].,"A weird thing, right? Okay.  One circle.  Does anything else here have just one circle?",yes,choral,verbal,test,yes,individual,verbal,test
641_482,641,"Yeah, that’s a whole.",That’s a whole.  That’s a whole  That’s a whole.  That’s a whole.,no,,,,no,,,
4730_218,4730,I don’t remember that.,"And when we played Close to 100, which strategy did we discover?  What do we try to make in the tens place? Student C.",yes,individual,verbal,test,yes,individual,verbal,test
355_459,355,"Well, you said we do 1 through 4.","Okay, where are they?",yes,individual,verbal,test,yes,individual,verbal,test
4093_134,4093,"Because you always have to put the 0 with the 10, and you just have to put a decimal in the back, which is a whole number.","Right.  When you add this decimal, it helps you keep your value.  We can add a million zeros behind this decimal, and it’s still going to equal 1, but without this decimal it’s no longer 1.  It’s 10.  If you add two zeros, it’s 100.  That decimal helps you keep your whole number value because everything after this is going to be smaller than 1.  Now we got this set up.  Who can tell me what to do?  Remember, we’re trying to see how one fourth equals twenty-five hundredths.  We got it set up.  We figured out we needed to add that decimal there to keep our value at 1 but to still be able to divide.  What’s the next step?  Student L?",yes,individual,verbal,test,yes,individual,verbal,test
490_61,490,"Wait.  Line A, B, is parallel to Line C, D.","My point is this.  Can we also say Line Segment A, B is parallel to Line Segment C, D?",yes,individual,verbal,test,yes,choral,verbal,test
4490_16,4490,"Nine and – 90 hundredths plus three is 41 hundredths, equals eight and 31 hundredths.","That is correct.  You can just do the answer for me only, that’s fine.  So he said eight and 31 hundredths.  That is eight, decimal, three, one.  Number two – do you have a question?",yes,individual,verbal,authentic,no,,,
1030_241,1030,I already did Student S and now I’m with Student A but how can—,You’re getting all even numbers for your mean?  How is that possible?,yes,individual,verbal,authentic,yes,individual,verbal,authentic
493_29,493,I’ve got a number right here.,You’ve got to erase one and look at one on your sheet to see one you have not used.  All right.  We need to—,no,,,,yes,individual,production,test
2939_325,2939,"Me and Student H said because this is 4 times 6.  So we just multiplied that and it equals 24, so we counted out 12.",Good.,no,,,,no,,,
2676_86,2676,It turns into another decimal.,It turns into what type of number?,yes,individual,verbal,test,yes,individual,verbal,test
4206_155,4206,"6 rows, 6 in each row.","There’s 6 in each column, right, so what does that 2 mean?",yes,individual,verbal,test,yes,individual,verbal,test
4093_72,4093,Because there’s already a 4.,"Already a 4, so we have a 2, then what?  A 4 here, then a 3 here.  I’m going to fill in our numbers and we’re going to check ourselves.  Student T, correct yourself.  3, 4, 1.  Congratulations.  Oh, the timer must have been running when I pulled it up initially this morning, but you got it pretty quick.  You did it pretty quick.  So if you want to try your hand at 4 by 4, Student K, I will print some out for later. Now that our brains are all warm, we are going to start our lesson for today.  Student M, can you flick that first light on for me?  We’ve been spending quite a bit of time over these last two weeks talking about fractions.  We’ve simplified fractions.  We’ve made equivalent fractions.  We’ve added and subtracted fractions, oh, and we’ve multiplied fractions too.  You’re probably sick of fractions. They’re probably coming to of your ears, but there are still more things we can do with fractions.  We still have to learn how to divide the fractions, and today we’re going to look at how fractions and decimals relate.  How do fractions and decimals relate, Student N?  Your essential question is how do fractions and decimals relate?  Turn to a clean page in your math journal, and write that down.  Okay. Now raise your hand if you like money.  I knew it, everybody.  So Ms. L is going to give you one whiteboard dollar.  Fantastic.  Who can tell me how we write this?",yes,individual,verbal,test,yes,individual,verbal,test
482_114,482,5 and 5 go into 0 zero times.,Good.,no,,,,no,,,
2661_189,2661,"Teacher, number B has already been done for you.","Great.  You may need to label it though. At this point, look up at me if you’ve done 1A so I can come around and make sure you’ve done it correctly.  I’m gonna have you not do this if you’re gonna do this.  You don’t want me to call your mom today.  I have been calling your name too much.  Don’t play with the rulers.",no,,,,yes,choral,gestural,test
4080_97,4080,You have to divide it by 12.,There’s no division on here.  I don’t see a single thing about division.  That is a fraction bar.,no,,,,no,,,
2692_368,2692,The little hand is on the 2.,So what time is it?  It is math time still.,maybe,,,,yes,individual,verbal,test
2107_198,2107,The way I figured out my answer is I noticed that two pairs equal 10 pounds so I subtracted one ball and I got my answer.,"Cool nice job, nice job.",no,,,,no,,,
2651_596,2651,That’s what I’m going to do.,"All right, guys.  Shh.  Shh.  Tonight, you’re going to work on practice book 22.4.  all of it.  All of it.  We’ll be ready to check that tomorrow, all right?  And you also need to study the entire chapter 22 on perimeter and area.  All figures that we have talked about.  Everybody understand?",maybe,choral,"verbal, gestural",authentic,yes,choral,verbal,test
2024_155,2024,Student J and Student N.,"Student J and Student N, I just called your group three times. Don’t leave your things on the floor.  Student J, listen. First of all, Student N, you don’t just leave them on the floor.  Just come up to me.  Look at me.  Come up to the table.  Student J, come up.  Just put it back.  You’re not listening.  Just come up to me.  Thank you.  There should be a stool there.  We’re talking about listening.  All right.  Everyone should have one of these.  Okay.  Here we go.  Okay.  I’m going to move this out of the way.  All right.  Take one and pass it down.  Student J, pass it down.  Okay.  What I want to do with you today is to show you how to look at numbers that are larger or smaller, greatest to least, and we’re going to practice looking at decimals and saying them as well.  Since you’re right next to me, I want to put these four cards right here and I want you to pick one.  Okay.  She picked number four.  Okay. Wow.  All right.  This is the first time this has happened. She picked number four.  Take your chip and put it on the number four.  Okay.  You cannot take it off okay?  What we’re going to do is we’re all going to take a card, and you’re going to put it in a – once you put it in a space you cannot move it, okay?  I’m going to start with you. I’m going to put it right here.  I want you to reach over and take a card.  Now you’re going to keep that card.  Put it anywhere on this space that you want.  Take a turn. Pick a card.  Keep going.  The card goes to you, Student J. What are you doing?  You’re putting it on one of these spaces.  Keep going.  An ace is 1, so you consider ace as a 1.  Put anything there.  Come on, Student J.  Pay attention.  Pick a card.  Keep going.  Pick a card.  Okay. Pick a card.  You cannot put it there.  Student J, you’re not listening.  That is a spot you cannot put a card there. That is your decimal spot.  Pick a card.  That’s a 1. That means 1.  You can put it anywhere you want.  Okay. Now everyone has three cards.  These cards we’re going to look at as numbers.  Your chip is on number four which means all these numbers are in front of the decimal point, which means all these numbers are going to be what type of numbers?  Whole numbers.  Very good.  They’re all whole numbers.  This is going to be easy to read.  Aces are 1. What’s your numbers?",yes,small group,"verbal, production",authentic,yes,choral,verbal,test
2018_63,2018,"Whole numbers too, because we did that last year in Ms. E’s class.  We did our average.",Right.  Sometimes you’ll end up with an infinite number.,no,,,,no,,,
2525_298,2525,So two and one half?,"There you go, okay.  Student O, let me help you.  Okay, there is one, because you are doing groups of two-sixth, right? There is one group.  I am going to move it down.  There is the second group.  Am I going to get another group of two- sixths out of that?  How much of that group can I get out of that?",yes,individual,verbal,test,yes,individual,verbal,test
888_89,888,"Because, you can’t break an odd number in half.","Right, you can’t break an odd number in half evenly, right. Correct.  Good job.  Okay.  Does that make sense to you? So, we started with the simple number of four eighths, and look at all the numbers that we can create with four eighths.  And, they all equal what?",yes,individual,verbal,test,yes,individual,verbal,test
2692_150,2692,Because you have to add nine eight times.,"Exactly.  So that’s why memorizing those facts, it’s a lot better.  The more automatic and the more fluent you become, the quicker it is.  You want to memorize those math facts so that you’re not adding it repeatedly.  However, Student Z, it’s an awesome strategy.  If you don’t memorize 9 times 8, you at least know the rule.  You can add that number 9 how many times?",yes,individual,verbal,test,yes,individual,verbal,test
539_247,539,Because it doesn’t go…,"How do you know it’s not close to zero?  It has a whole number, right?  So is this going to come before or after the whole? Is this bigger – greater or less than a whole?",yes,individual,verbal,test,yes,individual,verbal,test
2084_87,2084,8 plus 8 is 16.,"Honey, what?  Why would you turn the 6 into an 8? Oh, you’re talking about the subtraction.  Yeah, 16 minus 8 is 8, because 8 times 2 is 16.  Okay.  6 minus 15, right, and then we just bring down that 4.  We could check this problem with –",no,,,,yes,individual,verbal,test
4694_15,4694,Because there’s no – they’re all straight lines.,"Very good.  Let’s zoom this in.  Your first reaction might be that this is a no, but if you look closely at it, and I know the paper isn’t perfect, but all of those sides are straight.  It looks like it’s curved, but when you look closely at each side, all of the sides are straight.  It’s just the way they designed it, it looks like it might be a circle, but it’s really not. They have sides.  It is a little bit of a trick. And they have sides and they have angles there.  You really have to look closely.  Okay.  Very good. Let’s have somebody come up and do 4-6.  Mr. D, come up.  Okay.  Number four.",no,,,,yes,individual,production,test
4206_145,4206,"Every time you go down, why didn’t you subtract 1 minus 1?","Bring down my 8.  My new number is 8, so I need 8 or less.  Can you see where she got the 6 from the M side?  I put a 6 right here, and what number goes with 6?  1. Dragons mean serious business.  Is there anything left to bring down?  What does that mean?  What are we doing with this down here?",yes,choral,verbal,test,yes,choral,verbal,test
754_361,754,"She broke the 60 and the 35, so she put 60 times 30, and it equals 180 – 1,080.","Okay.  And something that was ignored, I wanted to see the array.  I wanna see if she has all –",no,,,,yes,individual,production,test
8_71,8,Can you just do it on the paper?,"Well, you have to kind of follow what it says.  You’re gonna have to draw the design.  So, you have to draw one pattern that you come up with for Number 2. And then, for Number 3, you can – kind of like we talked about before, conjectures are kind of like guesses in math, right?  You can come up with conjectures and say, oh, well, I think 10 times 1 times 3 is gonna work or something like that. But how do you know?  You have to find some way to figure out if that’s gonna work.  You have to build it or draw it or be able to explain it to us.  ’Cause what we’re gonna do is I have a chart that we’re gonna put up at the end and we’re gonna come up with all different ways that we can build that new box. Got it?",yes,individual,"verbal, gestural",authentic,yes,choral,verbal,test
2659_72,2659,"Well, I was talking about this is an edge here.","That’s an edge, yes.",no,,,,no,,,
2389_350,2389,Zero times six or three times six or do two times six?,Said 30 times 6.  I love what you did here.  This is six.  This one is what?,yes,individual,verbal,test,yes,choral,verbal,test
4206_55,4206,Seven eighths plus one eighth.,"You’re yelling in my ear.  Yes, write that down.  What about one eighth plus one eighths—",yes,individual,verbal,test,yes,individual,verbal,test
2252_193,2252,So it means that the whole equation is only the same.,What does it mean?  I still don’t understand what is it?,yes,individual,verbal,authentic,yes,individual,verbal,authentic
576_103,576,"So then I put this right here, then I know this is less than this.",What is the half point?  0.5 is the half point.  What do you know about all the numbers in front of the half?  They’re less than half.  What do you know about all these numbers here?,yes,individual,verbal,test,yes,individual,verbal,test
4429_23,4429,"1,574 divided by 4.",What’s my first step to solve that division problem?,yes,individual,verbal,test,yes,choral,verbal,test
2437_105,2437,All the sides are equal.,"All the sides are congruent.  They have the same dashes.  What about number two?  Student N, what can you say for number two?",yes,individual,verbal,test,yes,individual,verbal,test
8_286,8,When you added one – they had to – they doubled the 2.,"They doubled the 2, which made it 4.",no,,,,no,,,
2571_75,2571,Twelve is a factor of forty-eight.  So 12 times 4 equals 48.,"Student A, do you agree with that?  Is 12 times 4 gonna get us to 48?",yes,individual,verbal,test,yes,individual,verbal,test
4152_12,4152,That’s what I put down to see what number you would have.,"We need to know what the number is, Student K.",maybe,individual,verbal,test,yes,individual,verbal,test
210_31,210,Numerator is it for top and then denominator is the bottom.  I know that the top number is the numerator because it’s north.,"Oh, that’s good.  I like that.  Okay.  So, numerator north – north is on top of south.  Okay.  Good.  That’s a good way to remember that.  Okay.  How else are they different, Student H?",yes,individual,verbal,test,yes,individual,verbal,authentic
4158_252,4158,Yes.  Check it up to there.,"Okay, and we're not – we've got a new lesson to do today so we're not going to check it.  Raise your hand if you checked it with multiplication.  Oh, we're making progress. Okay, did any of you check it with multiplication and you found out you'd made an error?",yes,choral,gestural,test,yes,choral,verbal,test
4017_132,4017,Each box holds eight glasses?,Each box holds eight glasses.  Good.  And what do we want to know?  What do we want to know?  Student J?,yes,individual,verbal,test,yes,individual,verbal,test
2960_180,2960,"Three green, one orange, two red.","Based on what we have now, Student E, looking at this sample, what do you think the whole population might look like?",yes,individual,verbal,authentic,yes,individual,verbal,authentic
2113_8,2113,There are 16 ounces in a pound.,"16 ounces in a pound, good to know.  That’s one of those things that you’re supposed to remember.  What’s another thing you can tell us about benchmarks?",yes,individual,verbal,test,yes,choral,verbal,test
4363_13,4363,When you have groups of numbers and you just add them all up.,Combining groups.  Can somebody give me an example?  Go ahead.,yes,individual,verbal,test,yes,individual,verbal,authentic
4426_21,4426,Because the one whole is already eight eighths.  So you have three eighths already.,"Oh, okay.  Was that what you were thinking, Student M?  Okay. Student J, I notice that you're showing it to me in your journal.  Talk to me about what you're doing.",yes,individual,verbal,authentic,yes,individual,verbal,authentic
4017_76,4017,"Teacher, can’t you put one in the – oh, no, you can’t.","Nope, I want seven in each line.  If I could put one more in each line I would have 13, right?",no,,,,yes,choral,verbal,test
987_358,987,3 yards and 3 yards.,Which is what?,yes,individual,verbal,test,yes,individual,verbal,test
2144_111,2144,But I only had one piece.,"Yeah, see?  You gotta maintain peace in the world.  We need all equal-sized pieces.",no,,,,no,,,
4267_6,4267,Seven hundred eighty-nine thousandths.,"Yes, remember?  We haven’t done decimals since when, last nine weeks?  This is what place, everybody?",yes,choral,verbal,test,yes,choral,verbal,test
4664_159,4664,"The number 10, it has __________.","All right, so we just used the data that we're actually given, and we make our line plot accordingly, and we have to make sure that we're also putting it in order, all right?  So with our data, how could our line plot look?  Well, let’s try to start it.  What’s the first thing we need to make our line plot?  What’s the main thing that we need; what’s the first thing we need?",yes,individual,verbal,test,yes,choral,verbal,test
2727_399,2727,"A door, by a door.",Could you make it taller?  Could you put them on their side? Look.,no,,,,yes,individual,production,authentic
2623_183,2623,Fifteen.,"That's how I get the answer when I'm cross multiplying, all right?  So okay, multiplying fractions on your whiteboard. We are working this problem out.  I have two thirds times one fourth.  Two thirds times one fourth.  What do you know about this fraction?",yes,choral,production,test,yes,individual,verbal,authentic
455_171,455,"Miss L gets – you could figure it out by doing like 6 times 3, it equals 18.",Why did you do 6 times 3?,yes,individual,verbal,authentic,yes,individual,verbal,authentic
951_52,951,"It could be SQ, FT or feet and then number 2.","Yeah, square feet, right.  Okay.  This says, """"Which is a multiple of 4?""""  There's a couple different strategies you could have used to figure that out.  Someone tell me a strategy that you used",yes,individual,verbal,test,yes,individual,verbal,authentic
4093_164,4093,4 into 20 goes 5 times.,Then what?,yes,individual,verbal,test,yes,individual,verbal,test
1098_304,1098,"This is the entry.  And that’s the attic.  And that’s going to be the room for my kids.  And I need another piece of paper for the hallway, and that room.  [Crosstalk with other students].","Now, this is the outside of your house, right?",no,,,,yes,individual,verbal,test
4158_78,4158,"26 million, 500 and 50 –","Look at the board, sweetie.  It's written up here.  You have the right answer.",yes,individual,verbal,test,no,,,
517_46,517,And then you put the –,Put the Xs on top.  Okay.  Got it?  I'm gonna come back and work with this group.,no,,,,yes,choral,verbal,test
495_237,495,It would be like one and a half gallons.,"Well, if we had 24 pints, oh, I’m sorry.  Let me ask you that, we can go there.  If I 24 pints, I want to know how many gallon, we can figure that out.  Right?",no,,,,yes,choral,verbal,test
4415_70,4415,"Because the number is 0, 2, 4, 6, or 8.",Stop.  What does the number end with?,yes,individual,verbal,test,yes,individual,verbal,test
515_309,515,Because I told Student F like if you –,"Student F, you’ve got to start labeling your units.  Are they units?  Are they seats?  Are they what?  Tell me what they are for number eight and number nine.",yes,individual,verbal,test,yes,individual,verbal,test
4426_21,4426,Because the one whole is already eight eighths.  So you have three eighths already.,"Oh, okay.  Was that what you were thinking, Student M?  Okay. Student J, I notice that you're showing it to me in your journal.  Talk to me about what you're doing.",yes,individual,verbal,authentic,yes,individual,verbal,authentic
4562_579,4562,Where do we put the names?  Like where do we put Val?,"Down below that graph.  Excuse me.  Okay, you know what I need for you to do?  I need for you to take your book and go next door to Teacher I's room, okay?",no,,,,no,,,
4118_140,4118,Do we put what we got correct?,"The amount you got correct.  All right.  We’re getting ready to start in our groups.  Let’s see.  Student I, will you hand me the box of index cards, please?  Thank you. Okay.  Student M, will you be so kind as to make sure everyone gets one?  Yep.  How cute is that?  All right.  Can you put tht up for me?  Put it up.  All right.  5, 4, 3, 2, 1.  Who is – Student I, you don’t need to be behind me.  You can have a seat.  Hold your pencils still, please.  Student C is handing out the index card.  First things first, your name goes on it.  Next thing we’re going to do – I’m going to wait until everyone’s quiet and listening.  Just make it quick.  I want you to fold the card in half, please.  Okay.  All right.  Here we go.  Here’s my index card.  I’m going to draw it big.  Okay. Numbers on one side, drawing on the other with your name up at the top corner.  When this is done you can go to your station.  Please make sure you get it turned in.  The first group, when you come back to the table, I need you to bring your fractions kit that we created over the last few days.  Student A, I know you don’t have one.  You can borrow someone else’s until we get some time later to help you set up yours.  Let me have – let’s see.  I’m going to pull – let’s do group one.  We have Student B, Student E, Student Z, Student D, and Student M.  You don’t need the marker, just your fractions kit.  You know what?  I didn’t bring my fractions kit.  Ms. C came unprepared.  Thanks.  All right.  Everybody still has their fractions kit.  That’s good.  I feel like I’m missing somebody.",no,,,,yes,choral,production,test
888_90,888,"Because, you can’t break an odd number in half.","Right, you can’t break an odd number in half evenly, right. Correct.  Good job.  Okay.  Does that make sense to you? So, we started with the simple number of four eighths, and look at all the numbers that we can create with four eighths.  And, they all equal what?",yes,individual,verbal,test,yes,choral,verbal,test
983_178,983,"For the first four, it’s 11, 11, -","Shhh.  Thank you Student A, just hang on.  Let everybody figure it out. [Students working on problems].",yes,choral,production,test,no,,,
2196_225,2196,The candles came in packages of six.  How many packages of candles does she have?,I notice this time you wrote a multiplication problem.  So what are you thinking there?  Explain it to me.,yes,individual,verbal,authentic,yes,individual,verbal,authentic
4002_114,4002,Do we just write down the answer?,"No, I want you to show us with the blocks how you did this. Girls, what I’m saying is – are you going to be able to do this?  I’m a little worried by your question to be honest with you.  What I need you to do is show the blocks to solve this problem.  Do I need another group?  Do you guys need more time?",yes,small group,production,test,yes,individual,production,test
2921_233,2921,4 times 3 is 12 and 3 times 3 is 9.,"So we can change this to 4 times 3 equals 12, 3 times 3 equals 9.  Three fourths equals nine twelfths which means nine twelfths equals what decimal?  Seventy-five hundredths. I'm going to come over 9, down to the bottom for 12, and label my seventy-five hundredths.  We have already found three different fractions that are equal to seventy-five hundredths, equal to three fourths.  Anybody else have anything they recognize in there?",yes,individual,verbal,test,yes,individual,verbal,authentic
